Epoch 1, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 1, Training Loss: 51.384032471715415, Accuracy: 0.40625
Epoch 2, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 2, Training Loss: 8.542347553469408, Accuracy: 0.40625
Epoch 3, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 3, Training Loss: 8.542347941185598, Accuracy: 0.40625
Epoch 4, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 4, Training Loss: 8.542347303662572, Accuracy: 0.40625
Epoch 5, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 5, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 6, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 6, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 7, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 7, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 8, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 8, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 9, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 9, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 10, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 10, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 11, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 11, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 12, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 12, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 13, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 13, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 14, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 14, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 15, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 15, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 16, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 16, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 17, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 17, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 18, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 18, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 19, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 19, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 20, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 20, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 21, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 21, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 22, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 22, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 23, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 23, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 24, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 24, Training Loss: 8.542347303662385, Accuracy: 0.40625
Epoch 25, Validation Loss: 0.7631578947368421, Accuracy: 0.3508771929824561
Epoch 25, Training Loss: 8.542347303662385, Accuracy: 0.40625
